	A_1.fastq.trim.sam.counts	A_2.fastq.trim.sam.counts	A_3.fastq.trim.sam.counts	A_4.fastq.trim.sam.counts
ENSMUSG00000000001.4	169	131	140	137
ENSMUSG00000000028.14	44	34	39	40
ENSMUSG00000000037.16	4	2	0	1
ENSMUSG00000000049.11	0	2	1	1
ENSMUSG00000000056.7	9	15	8	9
ENSMUSG00000000058.6	156	163	179	151
ENSMUSG00000000078.6	390	329	330	295
ENSMUSG00000000085.16	29	23	26	22
ENSMUSG00000000088.6	423	403	370	439
ENSMUSG00000000093.6	0	0	1	0
ENSMUSG00000000120.6	1	2	0	2
ENSMUSG00000000126.11	2	1	0	0
ENSMUSG00000000127.14	102	92	95	82
ENSMUSG00000000131.15	126	109	90	89
ENSMUSG00000000134.17	124	117	123	129
ENSMUSG00000000142.15	0	0	0	2
ENSMUSG00000000148.17	13	18	18	13
ENSMUSG00000000149.10	90	76	103	93
ENSMUSG00000000154.15	4	6	7	4
ENSMUSG00000000167.14	8	6	9	6
ENSMUSG00000000168.9	94	78	81	95
ENSMUSG00000000171.4	94	91	77	120
ENSMUSG00000000182.9	1	0	0	1
ENSMUSG00000000183.6	0	0	1	0
ENSMUSG00000000184.12	2412	2243	2111	2259
ENSMUSG00000000194.13	86	94	94	92
ENSMUSG00000000223.13	1	1	0	1
ENSMUSG00000000244.16	0	1	0	0
ENSMUSG00000000247.11	11	4	4	1
ENSMUSG00000000248.16	2	2	1	2
ENSMUSG00000000253.12	7	5	3	4
ENSMUSG00000000263.15	1	0	1	0
ENSMUSG00000000266.11	2	1	5	2
ENSMUSG00000000275.16	214	172	186	207
ENSMUSG00000000276.11	71	41	47	49
ENSMUSG00000000278.10	364	320	298	351
ENSMUSG00000000282.12	74	62	74	63
ENSMUSG00000000290.13	6	5	2	0
ENSMUSG00000000295.12	77	62	72	68
ENSMUSG00000000296.7	5	2	3	1
ENSMUSG00000000301.16	14	16	13	9
ENSMUSG00000000303.12	1	1	0	0
ENSMUSG00000000305.12	4	0	1	1
ENSMUSG00000000317.11	1	1	1	0
ENSMUSG00000000320.10	12	4	5	0
ENSMUSG00000000325.15	4	5	2	5
ENSMUSG00000000326.12	27	54	14	20
ENSMUSG00000000339.14	157	125	142	131
ENSMUSG00000000340.10	39	30	26	29
ENSMUSG00000000346.8	324	271	287	298
ENSMUSG00000000355.13	86	65	73	63
ENSMUSG00000000359.3	11	17	9	11
ENSMUSG00000000374.7	89	62	47	84
ENSMUSG00000000378.15	53	45	53	40
ENSMUSG00000000384.15	197	146	137	142
ENSMUSG00000000385.7	0	0	1	0
ENSMUSG00000000386.14	20	32	27	29
ENSMUSG00000000392.17	2	3	1	0
ENSMUSG00000000399.10	181	193	168	172
ENSMUSG00000000402.2	3	0	1	1
ENSMUSG00000000409.14	5	4	0	2
ENSMUSG00000000420.15	339	297	354	344
ENSMUSG00000000435.1	0	2	0	0
ENSMUSG00000000439.9	18	16	12	17
ENSMUSG00000000440.12	9	5	4	7
ENSMUSG00000000441.17	8	3	5	1
ENSMUSG00000000486.13	7	5	2	3
ENSMUSG00000000489.6	24	21	15	18
ENSMUSG00000000530.16	0	1	0	5
ENSMUSG00000000531.4	23	18	17	15
ENSMUSG00000000532.10	13	8	4	11
ENSMUSG00000000538.18	36	33	43	36
ENSMUSG00000000552.9	28	23	27	27
ENSMUSG00000000555.6	244	208	160	186
ENSMUSG00000000560.9	7	13	2	5
ENSMUSG00000000561.14	219	204	193	233
ENSMUSG00000000562.5	21	6	10	7
ENSMUSG00000000563.17	230	235	186	246
ENSMUSG00000000567.5	191	159	115	175
ENSMUSG00000000568.15	406	338	344	334
ENSMUSG00000000579.14	21	8	11	5
ENSMUSG00000000581.8	136	121	96	121
ENSMUSG00000000594.7	79	77	74	94
ENSMUSG00000000600.15	170	84	129	128
ENSMUSG00000000605.8	132	116	119	132
ENSMUSG00000000606.15	1	0	0	0
ENSMUSG00000000617.14	6	2	3	1
ENSMUSG00000000628.10	223	190	208	193
ENSMUSG00000000631.19	142	100	102	111
ENSMUSG00000000632.13	0	1	1	0
ENSMUSG00000000682.7	0	0	1	0
ENSMUSG00000000686.11	0	0	1	0
ENSMUSG00000000690.5	0	0	0	1
ENSMUSG00000000693.10	74	80	64	62
ENSMUSG00000000706.15	1	1	1	0
ENSMUSG00000000708.14	32	38	24	29
ENSMUSG00000000711.2	59	45	56	37
ENSMUSG00000000724.10	0	1	1	1
ENSMUSG00000000730.13	5	3	3	1
ENSMUSG00000000731.15	1	1	2	1
ENSMUSG00000000732.8	0	1	0	0
ENSMUSG00000000738.17	32	30	34	35
ENSMUSG00000000740.11	735	653	705	765
ENSMUSG00000000743.8	61	71	63	56
ENSMUSG00000000751.13	135	103	97	112
ENSMUSG00000000753.15	900	860	747	900
ENSMUSG00000000759.14	87	55	70	81
ENSMUSG00000000766.18	2	0	1	0
ENSMUSG00000000776.12	47	42	41	43
ENSMUSG00000000782.15	0	3	3	2
ENSMUSG00000000787.12	1012	786	784	934
ENSMUSG00000000791.8	8	4	2	4
ENSMUSG00000000792.2	1	0	0	1
ENSMUSG00000000804.14	67	57	58	56
ENSMUSG00000000811.13	45	39	36	31
ENSMUSG00000000823.16	97	70	69	78
ENSMUSG00000000826.16	359	318	287	348
ENSMUSG00000000827.18	184	187	158	192
ENSMUSG00000000838.17	314	238	284	251
ENSMUSG00000000869.12	1	2	3	2
ENSMUSG00000000876.11	23	8	17	19
ENSMUSG00000000881.12	64	63	45	47
ENSMUSG00000000884.16	28	16	24	19
ENSMUSG00000000901.15	63	64	68	42
ENSMUSG00000000902.13	153	127	119	117
ENSMUSG00000000915.15	28	21	20	25
ENSMUSG00000000916.15	20	29	24	19
ENSMUSG00000000934.8	44	41	31	43
ENSMUSG00000000938.11	2	1	5	2
ENSMUSG00000000942.10	13	7	6	8
ENSMUSG00000000948.16	11	15	8	9
ENSMUSG00000000957.9	441	392	431	412
ENSMUSG00000000958.9	0	0	0	1
ENSMUSG00000000959.6	86	68	81	80
ENSMUSG00000000976.13	87	73	69	59
ENSMUSG00000001016.12	131	98	118	100
ENSMUSG00000001017.15	126	118	132	138
ENSMUSG00000001018.15	49	30	32	47
ENSMUSG00000001020.8	1016	950	936	1098
ENSMUSG00000001021.12	40	25	26	25
ENSMUSG00000001023.10	1	0	0	0
ENSMUSG00000001025.8	3137	3114	2864	3194
ENSMUSG00000001034.17	34	35	39	37
ENSMUSG00000001036.17	154	131	148	145
ENSMUSG00000001039.12	32	37	33	39
ENSMUSG00000001052.15	135	68	79	105
ENSMUSG00000001053.15	8	10	6	8
ENSMUSG00000001054.9	51	60	46	72
ENSMUSG00000001056.3	333	323	308	367
ENSMUSG00000001062.17	19	15	23	20
ENSMUSG00000001065.14	14	5	9	7
ENSMUSG00000001082.12	110	80	85	84
ENSMUSG00000001089.14	112	101	89	94
ENSMUSG00000001098.15	14	6	10	16
ENSMUSG00000001100.10	243	219	191	226
ENSMUSG00000001105.15	154	175	130	155
ENSMUSG00000001119.7	255	230	222	225
ENSMUSG00000001120.15	18	17	11	24
ENSMUSG00000001123.15	343	359	322	324
ENSMUSG00000001127.12	105	71	69	85
ENSMUSG00000001128.7	10	3	1	2
ENSMUSG00000001131.11	1001	968	914	982
ENSMUSG00000001134.9	40	36	34	42
ENSMUSG00000001138.13	34	29	26	19
ENSMUSG00000001143.13	39	25	27	28
ENSMUSG00000001150.6	76	70	67	83
ENSMUSG00000001151.9	54	33	36	24
ENSMUSG00000001155.13	1	0	1	0
ENSMUSG00000001156.9	12	14	7	12
ENSMUSG00000001157.13	90	61	65	53
ENSMUSG00000001158.13	204	185	179	180
ENSMUSG00000001166.17	2	4	3	6
ENSMUSG00000001173.15	57	46	47	46
ENSMUSG00000001175.13	1414	1357	1271	1436
ENSMUSG00000001211.14	64	53	52	68
ENSMUSG00000001225.12	3	4	0	0
ENSMUSG00000001227.11	0	0	1	0
ENSMUSG00000001228.14	206	183	178	171
ENSMUSG00000001229.7	112	108	108	92
ENSMUSG00000001247.16	0	0	0	2
ENSMUSG00000001248.14	81	53	69	57
ENSMUSG00000001260.10	13	2	10	7
ENSMUSG00000001270.8	1	3	0	1
ENSMUSG00000001280.12	178	128	148	126
ENSMUSG00000001281.9	17	24	30	22
ENSMUSG00000001285.12	117	115	93	117
ENSMUSG00000001288.14	151	119	113	151
ENSMUSG00000001289.12	481	477	448	531
ENSMUSG00000001300.15	80	49	51	51
ENSMUSG00000001305.5	130	116	112	119
ENSMUSG00000001313.12	26	24	24	24
ENSMUSG00000001323.17	57	43	53	59
ENSMUSG00000001333.9	3	0	6	4
ENSMUSG00000001334.9	0	29	2	0
ENSMUSG00000001348.14	1	1	1	0
ENSMUSG00000001349.4	1	0	1	1
ENSMUSG00000001366.14	34	21	31	32
ENSMUSG00000001376.17	68	64	56	71
ENSMUSG00000001380.6	171	139	143	161
ENSMUSG00000001383.8	165	159	133	148
ENSMUSG00000001403.13	145	143	113	136
ENSMUSG00000001415.10	118	100	110	93
ENSMUSG00000001416.13	556	500	477	557
ENSMUSG00000001418.13	284	270	249	289
