"","A_1","A_2","A_3","A_4","B_1","B_2","B_3","B_4","C_1","C_2","C_3","C_4","D_1","D_2","D_3","D_4","E_1","E_2","E_3","E_4","F_1","F_2","F_3","F_4","G_1","G_2","G_3","G_4","H_1","H_2","H_3","H_4","I_1","I_2","I_3","I_4","J_1","J_2","J_3","J_4","K_1","K_2","K_3","K_4","L_1","L_2","L_3","L_4","M_1","M_2","M_3","M_4","N_1","N_2","N_3","N_4","O_1","O_2","O_3","O_4","P_1","P_2","P_3","P_4","Q_1","Q_2","Q_3","Q_4","R_1","R_2","R_3","R_4","S_1","S_2","S_3","S_4","T_1","T_2","T_3","T_4","U_1","U_2","U_3","U_4"
"A",0.549080744803185,0.355997648941251,0.387448006985669,0.453893243932041,2.51747279236028,0.660307791415558,1.91212199624183,4.02797131494479,6.32914824011703,5.82408686438893,6.32628267807132,6.21652829012679,16.0060420696236,15.8013520805643,15.0791223630918,14.8965954217341,14.750597758632,13.3724662776698,14.367429109363,13.6728452143221,6.09907681337441,6.36537199529047,6.86867880794022,6.83606756770608,5.68493637013795,5.7430316460625,6.56373951372556,6.10608188444427,8.26788019916946,7.76164874946114,9.6213851836121,9.39851981709577,16.1879972834662,16.1453994919194,15.8983379640249,15.0412373775981,14.3180839591669,14.4508202200164,15.4440858277066,14.8198765679109,3.78435394946851,2.53387629440766,3.99211119496243,2.86206210233155,6.47676135050073,6.02737042394258,6.7387663799566,6.75597218658207,8.12914850337821,7.12419474170662,9.21329004346426,8.25690192428745,14.1187356351341,14.6941830065782,14.4095846469776,13.8113831323535,6.44025870502464,13.2589984365229,14.0711252669745,12.7070704462722,1.79947174278677,1.81042265265528,1.69595580462497,1.12993855804586,8.4738579210692,8.41402896823706,9.72368467945154,8.61410002271406,8.47452987698999,9.23455694186023,9.37160273104726,9.07175857968062,13.2236183297225,14.3342599215793,13.7859680834996,13.6323576860611,11.0613047122682,11.4089176318417,12.4276535797186,12.9134424336906,2.28707510209706,3.1508192701081,2.28966357831902,2.41726946016964
"B",2.06197505838808,2.32221644930734,2.24840495692405,2.48527743034299,2.07994012279812,1.87282106703123,1.74600029140707,3.71386142402394,5.53458533473686,5.14971630131852,5.58618922607948,5.42683640654821,14.973295532493,14.7822735323136,14.0547069686129,13.8769008273403,13.6830387807342,12.3350658222647,13.3178289736494,12.6199727400634,5.55675733741433,5.79966457995157,6.18200640832948,6.1861360240303,5.3866622885015,5.45194246084721,6.14723975607264,5.75450775692644,7.73504578867994,7.21973774097715,9.16508052334347,8.85210696743729,15.2598371386634,15.2080798517512,15.0413560307202,14.1886179476671,13.2756033730533,13.3993061466049,14.4081823194974,13.7913875923326,3.70207925330048,2.98399167695553,3.69681709393452,2.97866456487192,6.53968067961821,6.04639979595688,6.7669094527629,6.79126673667114,7.84439927357208,6.75465372702985,9.04782244693742,8.00759695779514,13.2967893338516,13.8677019085048,13.7181528904311,13.0876990106858,5.77450242450685,12.2689748599453,13.1366212282917,11.749536047362,3.20541676295763,3.29195135389174,2.51210558073477,2.69347514997068,8.79462594782888,8.56542296725331,9.89224651367669,8.86931906620237,8.56659943546413,9.22046084973245,9.40783421892275,9.10522887052081,12.7025694744681,13.7684305697447,13.3471766749422,13.2074174753289,10.3002908977367,10.6597012116792,11.6842910709403,12.1953073327411,3.91649525458001,4.69451479375018,3.54790877927013,4.13692071860045
"C",5.79893445836602,6.28348189979372,6.16375218152292,6.44987753302141,3.93032590900822,5.60143534483068,4.33354130767975,7.83202470716442,0.787584088652612,1.12877192192261,0.800786062796449,0.785452436136626,10.1742881815271,9.90156310761122,9.26423040029804,9.06451935351365,10.5669094212572,9.7316346610222,10.7352201033052,9.51682856727413,8.23891161319056,8.3135810594801,7.51211369087233,7.96434696664851,3.68235556358014,3.73674857900947,3.37619058549219,3.54920504204817,3.78965048963909,3.3366626796373,5.36268170822536,4.67362207981221,10.0962844502973,10.0545410337877,9.87184917663661,9.01737084706389,8.79967633043277,9.05798914546338,9.68413369115951,9.0627718486325,7.90533151509824,6.80284919457589,6.88232993751281,6.12042686275789,5.7157369639554,5.27297457599682,5.72303182354754,5.7656112552617,5.10718960786563,3.96150948715253,6.55961183514121,5.3893524575397,8.14925545489512,8.71851303094251,8.83345823829974,8.12417134174046,1.50008496289886,7.38325360720546,7.99510446433279,6.7185758625224,7.54291584404881,7.66280348553299,6.11323077001267,6.80343035527663,8.27830520047486,7.46559964857499,8.60004317551971,8.09600142739846,7.23733211054731,7.32795881304753,7.68175914056323,7.4275273408423,8.37350854047268,9.2543997860547,9.28781550646074,9.20545234302158,5.24479625752022,5.63465323737676,6.67418575184344,7.24823684808459,7.61870819571671,8.27389236853868,7.99942263517055,8.54812341872073
"D",15.1537660700816,15.4992455545173,15.3597552389244,15.7703450714904,13.4104952806299,14.9122616918209,13.7152799571349,15.6491399311741,9.18478362672145,10.3509136676708,9.57692003558781,9.29198371297,0.655770333708743,0.624506085461123,0.517164899774567,0.584756977975844,6.4574782272714,7.52998570661516,7.81893466375226,6.30398883828028,14.7087966385188,14.5902070079215,13.0855508236348,13.7098225322303,12.4728883460082,12.4933617341472,11.5995849784372,12.0960995664512,10.277017388717,10.3572868739501,10.7306389024783,9.89462318821104,3.68295317626893,3.41197807994683,5.31012800737131,5.1311712529888,2.05649905267705,2.49996029133479,0.754908866223647,0.86765741910608,15.8900633955712,15.2347964144294,14.5339759310461,14.3608012899653,14.1958098274858,13.9334455372352,14.054750908453,14.0946502488997,12.2121776857072,11.7518856875059,13.1665183822708,12.4639095222144,5.62333396562939,5.61885762581479,8.06092127579352,7.40186609476392,10.044410328425,2.23763286628675,3.04484609182774,3.07193284377045,16.4806025386804,16.6467310730649,14.8759036226128,15.8235822097278,16.2437924635996,15.1676101807929,15.7746576669199,15.8970127781592,14.8075279709,14.2962952735845,14.6990772161647,14.5888102951623,10.2887452007325,9.97037391058736,11.4938649064558,11.6158877042913,6.98735535050442,7.07098436530475,7.01723690011482,7.41287119667431,17.1347753703494,17.8182001762684,16.8591534549443,17.8175262750767
"E",13.972025525967,13.9687336169907,13.8188968044426,14.4036824125866,12.9633570291263,13.6770374274954,12.8901599189451,12.4253519411449,9.41052436886847,11.2324101450689,10.4483598492334,9.45929838968786,7.13248106757882,7.51493666460714,6.70361971182749,6.75934999190565,1.08530262724363,1.01507071075144,1.03486458578731,0.996700094928617,10.6162409085499,10.3876409323959,8.83944518137195,9.37982216535598,13.7991916844109,13.8520167272013,13.3547031798059,13.6300017281122,12.9205154530228,12.7052192874102,14.0906510592854,13.1610719048561,10.5230204579519,10.2669974211144,11.8963243157549,11.4445680399648,5.06390421831221,4.56603910720465,6.49486903457342,6.30050258232368,12.7718256530013,12.7071548422828,11.4283852796994,11.8454886681612,15.8293803634738,15.3925333313453,15.8202624228661,15.8631623158147,14.7716019796211,13.8219088085359,16.1159929398117,15.0651559918933,11.4983919080292,11.7425672962587,13.7894831395534,12.96997062676,11.3561721041732,6.78920899805906,9.01259733753504,7.6004938014672,14.3336949690729,14.5402189050499,12.8064956982693,13.9117263963023,18.3585843173084,17.4736570841578,18.488015208788,18.1421391780022,17.2021769082419,17.0884634447884,17.4783839696662,17.2656111390653,15.2691742985626,15.4109202100244,16.5061376984518,16.5532223362399,11.1205809237536,11.4337716743953,11.9630453452963,12.5783915635361,16.2121281729779,17.0522999699653,14.5411627478422,16.044409046376
"F",6.80582050963817,6.32266376233658,6.21408405106897,6.82662686126746,7.32808535274138,6.55578466895965,6.73993998470017,3.10075434332447,7.51473171078812,8.62790280857652,8.45150476148092,7.43481404934594,14.4696408075087,14.5058592701931,13.6131927325286,13.505684192075,10.6944095489109,8.9712105608996,9.78847043761595,9.76905864024729,0.83608046100652,0.72247256611161,0.996571609353623,0.723510417830637,10.2622904036843,10.3348202289905,10.6375139793473,10.4662327822353,11.6424221023207,11.1449422063436,13.2336608653427,12.5993297640646,16.1683058576702,16.0210508579062,16.6029415921897,15.8046253037503,12.2719619839853,12.1430290033686,13.7788836835949,13.2339849598163,3.48156830862084,4.16916898155971,2.62365833876729,3.71961491551925,11.8750137463696,11.3555400312207,12.0534508398064,12.0852247290653,12.5183212003743,11.308585324045,13.9119456074713,12.7527157569131,15.1823686192713,15.7013472890423,16.4496184509951,15.6568579242028,9.2481726720506,12.259691547683,13.9648234435245,12.2225684956738,5.77911360702097,5.98238168569311,4.87153631802427,5.77469214733761,14.3112309649177,13.9341941660985,15.2521557715608,14.3332901450699,13.8668925978022,14.3509239076873,14.6083039900438,14.3112136310284,16.3057653856479,17.1295473982008,17.2378614534406,17.1535766363128,12.761890305788,13.1840636209056,14.1946626635114,14.8397880238099,8.68502373191125,9.52253800465076,5.74002197571919,7.54565537623693
"G",5.51556003608266,6.25156913961229,6.20024208526131,6.13041815341402,3.64897258512869,5.4906006403435,4.37396522622966,9.22681381064594,4.32525311312356,2.48472526809042,3.2348542774143,4.29966711150168,12.7410225120384,12.3596676014596,11.8897637418607,11.671480769685,14.0512116506306,13.2834244241801,14.2820261911733,13.0192510535462,10.4198350627655,10.5782526859076,10.1915812200891,10.5111884254952,0.403041934328419,0.392868910970882,0.666334761335325,0.380311668622467,2.5078212051005,2.11210889334997,3.64088318884432,3.58444458784395,11.6913700871287,11.7300797041459,10.92729249749,10.1097494983901,11.7746075476409,12.1209426947425,12.3714527608089,11.7771697896181,9.14969479896771,7.82053039430838,8.57580270481158,7.48150230119163,2.21946023375373,1.83828387396817,2.20188625913359,2.24412475232538,2.21935885850394,1.14295449141609,3.53308775352855,2.41248667750076,9.08023058067993,9.6345860073438,8.78053086037209,8.32135675197368,2.35996252482619,9.99421600909146,9.90665203728375,9.11150552338669,7.78220288122909,7.8107119397466,6.88443561258007,7.04194501677634,4.73702854337401,3.94959050745126,5.1405689405431,4.55861640976866,3.75310919884168,4.01654446206137,4.31984716475099,4.04062819713808,7.26630088106908,8.42201600957384,7.77520007979739,7.62016157673774,6.00097708066034,6.2322639643479,7.11589259624768,7.45294146889285,6.37507327704311,6.71474110286631,8.28121001722998,8.04149758731676
"H",8.26970673240316,8.96870597834706,8.89712931019499,8.91389192839327,6.27751760001076,8.19918503712407,6.96793729331211,11.5273310899909,4.89028284012622,3.55652326006483,3.78186625808356,4.93394459903935,10.8649972760082,10.4100283484422,10.1041177429692,9.8804229859368,13.426121748263,13.0152007423571,13.9461661917238,12.4899690222306,12.317940870608,12.4236858906233,11.7251219620046,12.1536062148357,3.34270628366971,3.31371016484447,2.32220294716286,2.8666384794617,0.812749151341482,1.06651154008969,1.15594898353199,0.926924034349307,9.22084320091824,9.29887405766172,8.25385846522478,7.47865733610164,10.350279478261,10.7862934549204,10.6191560671948,10.0792384996269,11.5149965837081,10.2451995507573,10.7171689679943,9.74973964222117,4.31596954119298,4.23388225074939,4.10511436210863,4.13814918492619,2.11771934513992,2.03911462334162,3.09318573547622,2.34073452882971,6.43293970796464,6.95708376627348,5.90972625374182,5.49364534935986,2.9247357076389,8.31266064770914,7.7032260047648,7.31842833062309,10.4690671774338,10.5232031068165,9.37131777283589,9.70943128024696,6.03327988629838,4.95975343215042,5.61361680486298,5.68010207758636,4.60280303182178,4.15573234144898,4.55475252821594,4.41547266440498,4.50275072390713,5.59956733269085,5.20159441784673,5.08607356085388,3.57129699469758,3.68465635814065,4.41143012037698,4.65857500256231,9.29256578093562,9.63351908814713,10.9671992765543,10.8972675136594
"I",15.4222289623868,15.9417740406121,15.8232594884251,16.0857096255846,13.4457375285125,15.2404330992152,13.9422682062543,17.0694521348199,9.66221556027941,10.0861070467177,9.51598515960151,9.77573774118685,4.56683762442517,4.00442502830785,4.54120255279468,4.42376531104818,10.6019533783992,11.4050165305078,11.8643930343244,10.2595472915547,16.7012291254117,16.6535468205123,15.3186516124087,15.9234960531837,11.4871034664032,11.4819600797081,10.4615987052052,11.0278295358381,8.74082516314642,9.03142264160228,8.53650037932724,7.94348487583044,1.03302321713578,1.14776919261674,1.18191683347243,1.28954267813991,6.0521530524125,6.59268577860919,4.9280713287377,4.88493647049052,17.2281992388678,16.2942279983932,15.9958397070766,15.5071053568037,12.7608102916097,12.6494248607364,12.5462082484557,12.5792822013583,10.3874534431126,10.3596488826695,10.9292730252453,10.5716658944598,2.26700912549352,1.8650574430984,4.2356590252701,3.84805544053646,9.55516081348974,4.48102540109952,2.43410123487765,4.1170057232799,17.1966890159832,17.3238639169229,15.7060802102645,16.4616508358933,14.2795317816127,13.169836918819,13.4475749799699,13.8748246967552,12.7838764147711,12.0479057297766,12.4205509915547,12.3918273227562,6.83636218547635,6.18751973832946,7.90489370364005,8.07158783288033,5.15003057735701,4.95777125381646,4.28288079398649,4.3004419131824,17.0486796138116,17.5773162989976,17.6438752912628,18.1956212619561
"J",14.5031156336464,14.7892793296963,14.6457298323142,15.0947417791439,12.8691865257741,14.2475658970615,13.1063459988764,14.6513810097763,8.64927066961829,10.0057775227861,9.20065220821221,8.74887061507155,1.72867348720356,1.97159508087652,1.19331820052048,1.28543886074102,5.06897955522866,6.08988675156566,6.40037153203629,4.86607710358336,13.5685335210293,13.4330387138675,11.9021870518872,12.5241003439812,12.2873183271561,12.3155904199021,11.4920559913416,11.9492080544105,10.3514404161215,10.3595084670571,11.0028928654195,10.1211257514051,4.99409582818228,4.72937029572514,6.51538619205984,6.21899431428266,0.853171122553561,1.07186438908751,1.04847735207788,0.90719546476368,14.9122019139348,14.3452399361787,13.5394399474054,13.4595650845714,14.1140317101652,13.8074684239954,14.0007672690742,14.0420412899641,12.3122691231901,11.7228849206174,13.3809212453046,12.5793466872309,6.54890065302832,6.63995973598018,8.98198818837464,8.25709195492002,9.78677144481312,2.28509491838549,3.91092408008098,3.28193156720024,15.6738593304413,15.8492359507138,14.0594962008046,15.0494693364295,16.3024649068429,15.256741891359,15.968568674429,15.9815993190118,14.9125056566391,14.4895369728562,14.8949178341986,14.7582506749958,11.0076516729621,10.825008293239,12.2385637710824,12.3403011724561,7.36494590250165,7.52358731823894,7.65522440540789,8.1338804991203,16.5620207126997,17.2841568061484,16.0272711417005,17.0938537530839
