"","rowname","cluster_averages"
"15","O",-0.571524022020777
"2","B",-0.191316020016687
"21","U",0.221648127427428
"10","J",0.358714996030583
"14","N",0.429798987385696
"17","Q",0.454409107316877
"11","K",0.474729204185288
"18","R",0.512332522898447
"4","D",0.571032180410076
"13","M",0.573739369233946
"16","P",0.586871829714339
"20","T",0.615964588376212
"9","I",0.639014510398534
"8","H",0.647351098961424
"1","A",0.658447206370107
"6","F",0.749030771323501
"19","S",0.759824478681946
"3","C",0.786288539906577
"7","G",0.796277168695998
"5","E",0.800524595710421
"12","L",0.868830946558338
